iter	Logloss
0	0.6500359008
1	0.6111138309
2	0.5747919608
3	0.5430629377
4	0.5163509981
5	0.49287512
6	0.4718195707
7	0.4526795794
8	0.4356326142
9	0.4206344167
10	0.4075925409
11	0.3962539051
12	0.3861305785
13	0.3767064521
14	0.368794533
15	0.3615975582
16	0.354660004
17	0.3488015691
18	0.3438671217
19	0.339015509
20	0.3346846961
21	0.3307316655
22	0.3271676338
23	0.3241812387
24	0.3216044797
25	0.3191083115
26	0.3169835072
27	0.3151294975
28	0.3132803352
29	0.3115537523
30	0.3101172841
31	0.3087495708
32	0.3075843784
33	0.3063861965
34	0.3051445624
35	0.3041522198
36	0.3033522179
37	0.3025853485
38	0.3018152985
39	0.3010766807
40	0.3005115533
41	0.2999460858
42	0.2994489235
43	0.2987173728
44	0.2982320374
45	0.2976191041
46	0.2971716625
47	0.2967449016
48	0.2963520022
49	0.2960433064
50	0.2956932519
51	0.2953454721
52	0.294985621
53	0.29466454
54	0.2944256077
55	0.2941791548
56	0.2939701872
57	0.2935717715
58	0.2933343841
59	0.292969966
60	0.2927423802
61	0.2925087546
62	0.2923485512
63	0.2921163307
64	0.2918952193
65	0.2916185756
66	0.2913050592
67	0.2909317766
68	0.2907358004
69	0.2905818756
70	0.2903735814
71	0.2901045296
72	0.2899732471
73	0.2897846863
74	0.2896350465
75	0.289504253
76	0.2892498458
77	0.2890735628
78	0.288934982
79	0.2887229763
80	0.2885929849
81	0.2884410651
82	0.288298628
83	0.2881384025
84	0.2879516931
85	0.2876469368
86	0.2874085101
87	0.2872567714
88	0.2870950408
89	0.2869794606
90	0.2868524493
91	0.2866998676
92	0.2866068278
93	0.2864793197
94	0.2862977026
95	0.2861565819
96	0.2860436653
97	0.285879248
98	0.2857432437
99	0.2855424143
100	0.2854532038
101	0.2853037393
102	0.2851272682
103	0.2849735191
104	0.2848158608
105	0.2845975579
106	0.2844674489
107	0.2842537047
108	0.2841167396
109	0.2840016263
110	0.2838290579
111	0.283711642
112	0.2834961381
113	0.2833481466
114	0.2832191182
115	0.2831063233
116	0.2829280981
117	0.282796484
118	0.2827286503
119	0.2826482933
120	0.2825712572
121	0.2824930313
122	0.2823816537
123	0.2822545506
124	0.2821758445
125	0.2820470454
126	0.2819179675
127	0.2818199407
128	0.2817037958
129	0.281597243
130	0.2814727687
131	0.2813662523
132	0.2812123547
133	0.281085822
134	0.280954593
135	0.2808571504
136	0.2807655999
137	0.2806598603
138	0.2805649833
139	0.2804154937
140	0.2803223383
141	0.2802057457
142	0.2800974428
143	0.2800293583
144	0.2799190813
145	0.279813745
146	0.2796828407
147	0.2795986795
148	0.2794781434
149	0.2793753967
150	0.2792722072
151	0.2791401595
152	0.2790325074
153	0.2789192956
154	0.278797544
155	0.2787115971
156	0.2786342066
157	0.2785580634
158	0.2784349902
159	0.278335576
160	0.2782024369
161	0.2781174356
162	0.2779929296
163	0.2779047892
164	0.2778185643
165	0.2777413213
166	0.2776450564
167	0.2775800795
168	0.2774801243
169	0.2774082556
170	0.277319335
171	0.2772610636
172	0.2771158558
173	0.2770404353
174	0.2769579321
175	0.2768447081
176	0.2767752643
177	0.2766935557
178	0.2766249233
179	0.2764706754
180	0.2762381497
181	0.2761604273
182	0.2760995546
183	0.2760441088
184	0.2759613018
185	0.2758601884
186	0.2757659764
187	0.2757010703
188	0.2756212685
189	0.2755509314
190	0.2754950486
191	0.2754168651
192	0.2753548634
193	0.2752669796
194	0.2751446247
195	0.2750886199
196	0.2750202377
197	0.2749514359
198	0.2748478332
199	0.2747824101
