iter	Passed	Remaining
0	77	15507
1	140	13895
2	198	13006
3	263	12912
4	322	12594
5	386	12495
6	450	12427
7	512	12293
8	574	12201
9	632	12024
10	687	11808
11	751	11777
12	812	11687
13	867	11522
14	926	11432
15	974	11210
16	1032	11118
17	1087	10993
18	1147	10931
19	1206	10861
20	1266	10796
21	1325	10726
22	1384	10653
23	1444	10593
24	1492	10450
25	1546	10348
26	1598	10245
27	1655	10168
28	1713	10106
29	1772	10046
30	1830	9977
31	1887	9911
32	1945	9845
33	1998	9758
34	2057	9701
35	2115	9635
36	2173	9576
37	2230	9507
38	2288	9448
39	2348	9393
40	2405	9327
41	2460	9257
42	2519	9198
43	2578	9143
44	2635	9077
45	2691	9012
46	2748	8945
47	2806	8887
48	2865	8831
49	2920	8762
50	2978	8701
51	3038	8648
52	3095	8584
53	3152	8523
54	3209	8460
55	3264	8393
56	3310	8304
57	3371	8253
58	3431	8199
59	3490	8144
60	3548	8084
61	3610	8035
62	3668	7976
63	3728	7923
64	3789	7869
65	3849	7816
66	3908	7758
67	3971	7710
68	4030	7652
69	4086	7589
70	4147	7535
71	4203	7472
72	4260	7411
73	4319	7354
74	4375	7292
75	4436	7238
76	4498	7186
77	4559	7131
78	4614	7068
79	4676	7015
80	4735	6957
81	4797	6903
82	4850	6836
83	4905	6774
84	4963	6715
85	5026	6662
86	5087	6608
87	5147	6551
88	5208	6496
89	5264	6434
90	5326	6380
91	5388	6325
92	5447	6267
93	5511	6215
94	5569	6155
95	5626	6095
96	5686	6038
97	5748	5983
98	5808	5925
99	5871	5871
100	5928	5810
101	5986	5751
102	6048	5696
103	6104	5635
104	6166	5579
105	6229	5524
106	6288	5465
107	6348	5408
108	6409	5350
109	6469	5292
110	6531	5236
111	6591	5179
112	6652	5121
113	6707	5060
114	6767	5002
115	6828	4945
116	6892	4889
117	6953	4832
118	7011	4772
119	7072	4714
120	7130	4655
121	7192	4598
122	7250	4538
123	7309	4480
124	7367	4420
125	7431	4364
126	7498	4310
127	7563	4254
128	7624	4196
129	7684	4138
130	7746	4080
131	7807	4021
132	7865	3962
133	7925	3903
134	7993	3848
135	8051	3788
136	8115	3731
137	8178	3674
138	8240	3616
139	8298	3556
140	8358	3497
141	8415	3437
142	8484	3382
143	8559	3328
144	8655	3283
145	8717	3224
146	8772	3162
147	8835	3104
148	8890	3042
149	8951	2983
150	9018	2926
151	9074	2865
152	9136	2806
153	9209	2750
154	9264	2689
155	9322	2629
156	9381	2569
157	9440	2509
158	9502	2450
159	9561	2390
160	9618	2329
161	9676	2269
162	9737	2210
163	9797	2150
164	9856	2090
165	9917	2031
166	9972	1970
167	10043	1913
168	10110	1854
169	10187	1797
170	10261	1740
171	10325	1680
172	10385	1620
173	10442	1560
174	10505	1500
175	10568	1441
176	10626	1380
177	10687	1320
178	10748	1260
179	10807	1200
180	10866	1140
181	10925	1080
182	10987	1020
183	11050	960
184	11102	900
185	11161	840
186	11217	779
187	11275	719
188	11337	659
189	11398	599
190	11456	539
191	11516	479
192	11574	419
193	11634	359
194	11691	299
195	11748	239
196	11810	179
197	11871	119
198	11930	59
199	11994	0
