symbol,shortName,sector,price,marketCap,volume
AACB,Artius II Acquisition Inc.,Financial Services,10.39,287543264,24619
AACBU,Artius II Acquisition Inc.,Financial Services,10.67,268617248,72
AACG,ATA Creativity Global,Consumer Defensive,1.12,35585156,20906
AAL,"American Airlines Group, Inc.",Industrials,13.3,8782004224,56013129
AAME,Atlantic American Corporation,Financial Services,2.71,55276488,25298
AAOI,"Applied Optoelectronics, Inc.",Technology,43.61,2977686016,5355870
AAON,"AAON, Inc.",Industrials,91.06,7433596928,1033650
AAPG,Ascentage Pharma Group Internat,Healthcare,24.18,2262046464,4665
AAPL,Apple Inc.,Technology,259.48,3813817974784,46590713
AARD,"Aardvark Therapeutics, Inc.",Healthcare,12.99,282834784,203042
ABAT,American Battery Technology Com,Industrials,4.04,525078624,7086703
ABCL,AbCellera Biologics Inc.,Healthcare,3.62,1083592832,4405311
ABEO,Abeona Therapeutics Inc.,Healthcare,5.09,275834016,1682400
ABLV,Able View Global Inc.,Consumer Cyclical,0.7103,35081664,371316
ABNB,"Airbnb, Inc.",Consumer Cyclical,129.37,79204925440,4727744
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,2.6,157490896,537759
ABP,"Abpro Holdings, Inc",Healthcare,1.93,5242416,83809
ABSI,Absci Corporation,Healthcare,2.99,449610880,4022698
ABTC,American Bitcoin Corp.,Financial Services,1.51,1400683520,11892588
ABTS,Abits Group Inc,Financial Services,3.9,9242985,14204
ABUS,Arbutus Biopharma Corporation,Healthcare,4.13,794298240,1287575
ABVC,"ABVC Biopharma, Inc.",Healthcare,2.02,49088196,64639
ABVE,Above Food Ingredients Inc.,Consumer Defensive,2.01,102895616,1955642
ABVX,Abivax SA,Healthcare,111.15,8719067136,1660385
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,25.13,4251539200,1427509
ACB,Aurora Cannabis Inc.,Healthcare,4.06,229695696,1644196
ACCL,Acco Group Holdings Limited,Industrials,1.3,18134870,533003
ACDC,ProFrac Holding Corp.,Energy,5.21,942338880,1272390
ACET,"Adicet Bio, Inc.",Healthcare,7.99,76704000,165770
ACFN,"Acorn Energy, Inc.",Technology,17.72,44381972,46070
ACGL,Arch Capital Group Ltd.,Financial Services,96.04,35844075520,2225157
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,21.18,12349826048,28667
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,13.44,1215570816,3260354
ACHV,"Achieve Life Sciences, Inc.",Healthcare,4.18,222518064,700621
ACIC,American Coastal Insurance Corp,Financial Services,11.05,538856640,155900
ACIU,AC Immune SA,Healthcare,3.19,320914016,692627
ACIW,"ACI Worldwide, Inc.",Technology,43.36,4474408448,717519
ACLS,"Axcelis Technologies, Inc.",Technology,88.07,2730093568,555685
ACLX,"Arcellx, Inc.",Healthcare,68.31,3949880320,1050196
ACMR,"ACM Research, Inc.",Technology,58.12,3770619392,1399363
ACNB,ACNB Corporation,Financial Services,50.52,524640704,25852
ACNT,Ascent Industries Co.,Basic Materials,16.21,152049792,75483
ACOG,Alpha Cognition Inc.,Healthcare,4.84,105231784,87573
ACON,"Aclarion, Inc.",Healthcare,3.31,3489968,852278
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,3.51,380291776,1903255
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,1.79,56483676,1786693
ACT,"Enact Holdings, Inc.",Financial Services,39.77,5866298368,273170
ACTG,Acacia Research Corporation,Industrials,3.98,383912288,204272
ACTU,"Actuate Therapeutics, Inc.",Healthcare,4.71,109476072,74942
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,2.365,5553287,64909
ADAG,Adagene Inc.,Healthcare,2.75,129611000,174529
ADAM,"Adamas Trust, Inc.",Real Estate,8.0,722508608,676344
ADBE,Adobe Inc.,Technology,293.25,122754449408,4283080
ADEA,Adeia Inc.,Technology,18.09,1981039360,963919
ADGM,"Adagio Medical Holdings, Inc",Healthcare,1.0,21179636,164190
ADI,"Analog Devices, Inc.",Technology,310.88,152223678464,3793862
ADIL,"Adial Pharmaceuticals, Inc",Healthcare,0.213,5916983,336236
