symbol,date,open,high,low,close,volume,name,price,market_cap,average_volume,revenue_growth,earnings_growth,net_income,roe,debt_to_equity,current_ratio,free_cashflow,forward_pe,peg_ratio
NVDA,2025-08-29,178.11000061035156,178.14999389648438,173.14999389648438,174.17999267578125,242726800.0,NVIDIA Corporation,174.18,4240760373248,175023195,0.556,0.612,86597001216,1.09417,10.584,4.214,52436750336.0,42.2767,
MSFT,2025-08-29,508.6600036621094,509.6000061035156,504.489990234375,506.6900024414063,20954200.0,Microsoft Corporation,506.69,3766312763392,19889176,0.181,0.237,101831999488,0.33280998,32.661,1.353,61070376960.0,33.892307,
AAPL,2025-08-29,232.509994506836,233.3800048828125,231.3699951171875,232.13999938964844,39389400.0,Apple Inc.,232.14,3445050310656,53942777,0.096,0.121,99280003072,1.49814,154.486,0.868,94873747456.0,27.935017,
GOOGL,2025-08-29,210.509994506836,214.6499938964844,210.1999969482422,212.9100036621093,39715600.0,Alphabet Inc.,212.91,2563542876160,36905633,0.138,0.223,115572998144,0.34829,11.481,1.904,49786499072.0,23.762278,
GOOG,2025-08-29,211.2700042724609,215.33999633789065,210.97000122070312,213.52999877929688,24673100.0,Alphabet Inc.,213.53,2563534487552,24418961,0.138,0.223,115572998144,0.34829,11.481,1.904,49786499072.0,23.8581,
AMZN,2025-08-29,231.32000732421875,231.8099975585937,228.1600036621093,229.0,26177800.0,"Amazon.com, Inc.",229.0,2442261954560,41338755,0.133,0.333,70623002624,0.2477,47.808,1.024,31024001024.0,37.23577,
META,2025-08-29,745.280029296875,747.1400146484375,735.3499755859375,738.7000122070312,9060200.0,"Meta Platforms, Inc.",738.7,1855717900288,11942504,0.216,0.384,71507001344,0.40647998,25.406,1.973,31991250944.0,29.19763,
AVGO,2025-08-29,307.010009765625,307.010009765625,293.6600036621094,297.3900146484375,21586100.0,Broadcom Inc.,297.39,1398764994560,20510220,0.164,1.881,13240999936,0.18977,166.032,1.077,26148749312.0,48.199352,
TSLA,2025-08-29,347.2300109863281,348.75,331.70001220703125,333.8699951171875,80949700.0,"Tesla, Inc.",333.87,1076880998400,98240795,-0.118,-0.175,5879000064,0.08177,16.823,2.037,1339624960.0,103.046295,
BRK.B,2025-08-29,500.8500061035156,506.7200012207031,500.8500061035156,502.9800109863281,4658700.0,Berkshire Hathaway Inc. New,502.98,1085516414976,4715969,-0.012,-0.593,62918000640,0.099139996,18.95,3.002,28266250240.0,25.048805,
JPM,2025-08-29,302.0400085449219,302.95001220703125,299.7300109863281,301.4200134277344,6790500.0,JP Morgan Chase & Co.,301.42,828829663232,8282176,-0.106,-0.144,55154999296,0.16211,,,,18.005974,
WMT,2025-08-29,96.0999984741211,97.02999877929688,95.8000030517578,96.9800033569336,15591000.0,Walmart Inc.,96.98,773941166080,16365990,0.048,0.573,21344000000,0.23375,67.124,0.792,8241874944.0,35.65441,
ORCL,2025-08-29,237.6100006103516,238.22000122070312,223.1100006103516,226.1300048828125,16609100.0,Oracle Corporation,226.13,635160756224,13454676,0.113,0.073,12442999808,0.82382005,519.586,0.753,678000000.0,31.582403,
V,2025-08-29,350.4599914550781,352.6300048828125,349.0,351.7799987792969,3671000.0,Visa Inc.,351.78,682783866880,6496822,0.143,0.121,20060000256,0.51755,65.017,1.115,18054000640.0,27.78673,
LLY,2025-08-29,732.3200073242188,737.4199829101562,728.5,732.5800170898438,2549300.0,Eli Lilly and Company,732.58,656726491136,4391866,0.376,0.918,13799900160,0.86291003,217.891,1.278,-2265437440.0,32.329216,
MA,2025-08-29,592.0,596.8300170898438,590.260009765625,595.2899780273438,2111200.0,Mastercard Incorporated,595.29,538149289984,2812258,0.168,0.163,13585999872,1.7694701,240.919,1.163,15459624960.0,36.34249,
NFLX,2025-08-29,1227.969970703125,1228.7900390625,1201.1500244140625,1208.25,3206800.0,"Netflix, Inc.",1208.25,513416855552,3166396,0.159,0.473,10247879680,0.43548,67.866,1.341,22694656000.0,50.8095,
XOM,2025-08-29,113.72000122070312,114.79000091552734,113.58000183105467,114.29000091552734,14596600.0,Exxon Mobil Corporation,114.29,487246823424,16754804,-0.123,-0.236,31015000064,0.118310004,14.442,1.249,20748249088.0,14.522237,
COST,2025-08-29,945.0,948.6099853515624,940.4600219726562,943.3200073242188,1607200.0,Costco Wholesale Corporation,943.32,419068018688,2143315,0.08,0.132,7842999808,0.3208,30.813,1.015,5910374912.0,47.932926,
JNJ,2025-08-29,175.97000122070312,177.41000366210938,175.4499969482422,177.1699981689453,6940900.0,Johnson & Johnson,177.17,426685595648,8278741,0.058,0.187,22660999168,0.30212,64.686,1.006,11079499776.0,16.71415,
PLTR,2025-08-29,156.97999572753906,158.4199981689453,153.0,156.7100067138672,45149700.0,Palantir Technologies Inc.,156.71,375115186176,75258153,0.48,1.167,763292032,0.15203,3.947,6.324,1269297536.0,333.42554,
HD,2025-08-29,407.7300109863281,408.8999938964844,405.3999938964844,406.7699890136719,2210300.0,"Home Depot, Inc. (The)",406.77,404893564928,3512514,0.049,-0.004,14629000192,1.9395399,580.591,1.147,11005500416.0,26.074999,
ABBV,2025-08-29,208.0,211.0,207.8999938964844,210.3999938964844,4264700.0,AbbVie Inc.,210.4,371684212736,5476415,0.066,-0.324,3723000064,1.1285399,,0.736,20039749632.0,17.345425,
PG,2025-08-29,156.08999633789062,157.55999755859375,155.64999389648438,157.0399932861328,5317700.0,Procter & Gamble Company (The),157.04,367845769216,7911696,0.017,0.165,15683000320,0.31242,69.861,0.704,11380124672.0,21.16442,
BAC,2025-08-29,50.5099983215332,50.91999816894531,50.5099983215332,50.7400016784668,32492900.0,Bank of America Corporation,50.74,375828643840,38262522,0.042,0.072,26594000896,0.0946,,,,13.863388,
