shortName,symbol,price,marketCap,averageVolume,revenueGrowth,earningsGrowth,netIncomeToCommon,returnOnEquity,debtToEquity,currentRatio,freeCashflow,forwardPE,pegRatio
3M Company,MMM,155.94,82839232512,3121590,0.02,-0.195,3249999872.0,0.75501,268.991,1.708,-1629624960.0,16.676754,
A.O. Smith Corporation,AOS,69.49,9737604096,1266058,0.044,0.146,530500000.0,0.28209,12.063,1.544,454037504.0,17.225607,
Abbott Laboratories,ABT,106.05,184575688704,7582790,0.044,-0.808,6524000256.0,0.13158,25.31,,,17.02638,
AbbVie Inc.,ABBV,218.67,386473984000,6232756,0.091,-0.887,2348000000.0,1.37961,,0.725,20799000576.0,15.373896,
Accenture plc,ACN,270.43,167704150016,3927741,0.06,-0.016,7611100160.0,0.25016,25.694,1.411,11122880512.0,18.160732,
Adobe Inc.,ADBE,299.58,125404184576,4205660,0.105,0.172,7129999872.0,0.55426,57.266,0.996,8805874688.0,11.355758,
"Advanced Micro Devices, Inc.",AMD,252.74,411471249408,39854096,0.356,0.603,3131000064.0,0.05317,6.366,2.308,3245499904.0,38.319717,
The AES Corporation,AES,15.19,10817117184,8067286,0.019,0.253,1079000064.0,0.05106,302.896,0.723,-3689874944.0,6.548091,
AFLAC Incorporated,AFL,108.92,58253844480,2358925,0.607,,4168999936.0,0.1558,50.003,1.089,6489999872.0,14.893597,
"Agilent Technologies, Inc.",A,133.87,37952200704,1991365,0.094,0.245,1303000064.0,0.20618999,52.559,1.957,998499968.0,20.449156,
"Air Products and Chemicals, Inc",APD,255.89,56959004672,1611828,-0.006,-0.998,-386500000.0,-0.01923,106.228,1.381,-6595550208.0,18.523895,
"Airbnb, Inc.",ABNB,131.55,80539598848,4764485,0.097,0.038,2631000064.0,0.30776,26.458,1.392,3233625088.0,27.275951,
"Akamai Technologies, Inc.",AKAM,102.1,14688640000,3363678,0.05,1.553,506864000.0,0.10642,110.548,2.281,565246016.0,13.917552,
Albemarle Corporation,ALB,184.33,21695186944,3533058,-0.035,,-187907008.0,0.00209,36.655,2.273,-155030256.0,70.638054,
Alexandria Real Estate Equities,ARE,54.61,9463932928,2962233,-0.052,,-1437986944.0,-0.05856,66.615,1.617,1345210624.0,-682.625,
"Align Technology, Inc.",ALGN,164.92,11954451456,1262855,0.018,-0.497,378398016.0,0.095769994,3.064,1.289,588808768.0,14.964485,
Allegion plc,ALLE,164.9,14186668032,813391,0.107,0.095,640400000.0,0.36411,116.084,1.771,512487488.0,18.61865,
Alliant Energy Corporation,LNT,66.26,17032378368,2026931,0.119,-0.052,818000000.0,0.11461,163.145,0.825,-1113874944.0,19.352201,
Allstate Corporation (The),ALL,197.33,51997507584,1662436,0.038,2.222,8261000192.0,0.34469002,29.43,0.426,6504249856.0,8.109874,
Alphabet Inc.,GOOGL,336.01,4069794250752,36182888,0.159,0.353,124250996736.0,0.3545,11.424,1.747,47997751296.0,29.870848,
Alphabet Inc.,GOOG,336.28,4059516108800,23422781,0.159,0.353,124250996736.0,0.3545,11.424,1.747,47997751296.0,29.880667,
"Altria Group, Inc.",MO,63.13,106051518464,9579690,-0.017,0.052,8844000256.0,,,0.618,7409124864.0,11.2931185,
"Amazon.com, Inc.",AMZN,243.01,2597829214208,44436500,0.134,0.364,76482002944.0,0.24327,43.405,1.009,26080000000.0,30.868605,
Amcor plc,AMCR,44.19,20401285120,4867953,0.713,-0.144,582000000.0,0.07467,134.68,1.042,413124992.0,9.94914,
Ameren Corporation,AEE,103.58,28017862656,1708090,0.248,0.382,1411000064.0,0.11387,155.736,0.93,-2117750016.0,19.319365,
American Electric Power Company,AEP,119.12,63760838656,3446970,0.109,0.006,3662099968.0,0.12923001,152.132,0.686,-4280337408.0,18.845716,
American Express Company,AXP,356.99,248422989824,2619845,0.122,0.186,10410999808.0,0.33935001,185.273,1.602,,20.528265,
"American International Group, I",AIG,73.39,40658341888,5058973,-0.041,0.323,3304999936.0,0.07688,22.48,0.617,9084624896.0,9.347663,
American Tower Corporation (REI,AMT,177.51,83119276032,3151488,0.077,,2938400000.0,0.28839,418.09,0.59,4248437504.0,25.583523,
"American Water Works Company, I",AWK,127.05,24797259776,1862193,0.097,0.081,1112000000.0,0.10457,140.983,0.421,-1447250048.0,20.819847,
"Ameriprise Financial, Inc.",AMP,499.67,47104675840,606000,0.073,0.866,3625999872.0,0.59589,54.222,2.435,2814249984.0,12.015521,
"AMETEK, Inc.",AME,222.49,51384946688,1415510,0.108,0.088,1468797952.0,0.14632,26.09,1.155,1368788736.0,27.804579,
Amgen Inc.,AMGN,342.22,184278843392,2905585,0.124,0.136,7005000192.0,0.8171,567.491,1.28,11408624640.0,15.472388,
Amphenol Corporation,APH,145.96,178663161856,8188831,0.534,1.021,3820999936.0,0.34807998,63.99,2.07,2328112384.0,28.899137,
"Analog Devices, Inc.",ADI,317.625,155526381568,3760640,0.259,0.661,2267342080.0,0.06573,26.5,2.19,3904020224.0,27.736639,
Aon plc,AON,333.0,71803658240,1090828,0.074,0.344,2718000128.0,0.3769,214.88,1.058,1896499968.0,17.503155,
APA Corporation,APA,26.01,9306025984,6227785,-0.164,,1508999936.0,0.27427998,66.895,0.775,3169250048.0,11.831009,
"Apollo Global Management, Inc. ",APO,132.89,77132357632,3194610,0.264,1.153,4064000000.0,0.16549,94.598,1.986,,14.4790325,
Apple Inc.,AAPL,256.44,3789248004096,46619891,0.079,0.912,112010002432.0,1.7142199,152.411,0.893,78862254080.0,28.04054,
"Applied Materials, Inc.",AMAT,336.75,268269338624,7427581,-0.035,0.133,6998000128.0,0.35508,34.533,2.61,3653250048.0,27.923256,
Applovin Corporation,APP,542.36,183453220864,4397076,0.682,0.959,2916342016.0,2.41886,238.274,3.25,2517527296.0,38.898426,
Aptiv PLC,APTV,77.81,16943890432,2312988,0.074,,295000000.0,0.03294,85.425,1.793,1664000000.0,9.164241,
